Subset,A1,A2,A3,A4,A5
All respondents,2.23880597,3.731343284,8.208955224,23.13432836,62.68656716
Small company,0,0,13.33333333,23.33333333,63.33333333
Medium company,4.761904762,2.380952381,9.523809524,21.42857143,61.9047619
Large company,1.612903226,6.451612903,4.838709677,24.19354839,62.90322581
