Subset,No experience,Little experience,Some experience,Significant experience
All respondents,7.518796992,6.015037594,18.79699248,67.66917293
QSP modeler,0,0,3.076923077,96.92307692
Modeler - Non-QSP,0,0,10,90
Non-modeler,26.31578947,21.05263158,52.63157895,0
