Subset,LEAST,A2,A3,A4,MOST
All respondents,0.769230769,9.230769231,27.69230769,30,32.30769231
QSP modeler,0,1.5625,17.1875,29.6875,51.5625
Modeler - Non-QSP,3.571428571,14.28571429,35.71428571,32.14285714,14.28571429
Non-modeler,0,18.42105263,39.47368421,28.94736842,13.15789474
