Subset,A1,A2,A3,A4,A5
All respondents,2.23880597,3.731343284,8.208955224,23.13432836,62.68656716
QSP modeler,0,0,1.515151515,15.15151515,83.33333333
Modeler - Non-QSP,0,0,6.666666667,33.33333333,60
Non-modeler,7.894736842,13.15789474,21.05263158,28.94736842,28.94736842
