Subset,A1,A2,A3,A4,A5
All respondents,0.769230769,9.230769231,27.69230769,30,32.30769231
Small company,3.571428571,10.71428571,21.42857143,32.14285714,32.14285714
Medium company,0,10,27.5,27.5,35
Large company,0,8.064516129,30.64516129,30.64516129,30.64516129
